"","country_territory_area","date_start","npi_label","stage_label"
"72","Albania","31/07/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","modification/extension"
"73","Albania","28/07/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","new"
"74","Albania","26/06/2020","4.1.1_Social and physical distancing measures_School measures_Adapting","phase-out/finish"
"75","Albania","08/03/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","new"
"76","Albania","24/03/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","modification/extension"
"77","Albania","16/06/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"78","Albania","16/06/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","modification/extension"
"79","Albania","27/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"80","Albania","06/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","phase-out/finish"
"81","Albania","18/05/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"82","Albania","16/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"83","Algeria","20/03/2020","2.1_Environmental measures__Cleaning and disinfecting surfaces and objects","new"
"84","Algeria","23/05/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"85","Algeria","28/06/2020","5.9_International travel measures__Closing international land borders","modification/extension"
"86","Algeria","17/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"87","Algeria","29/06/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","modification/extension"
"88","Algeria","27/07/2020","5.7_International travel measures__Suspending or restricting international flights","modification/extension"
"89","Algeria","","8.1_Other measures__Legal and policy regulations","new"
"90","Algeria","22/03/2020","4.5.3_Social and physical distancing measures_Domestic travel_Restricting entry","new"
"91","Algeria","28/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"92","Algeria","27/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"93","Algeria","27/07/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"94","Algeria","30/04/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","modification/extension"
"95","Algeria","28/06/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"96","Algeria","03/08/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"97","Algeria","28/06/2020","4.1.2_Social and physical distancing measures_School measures_Closing","modification/extension"
"98","Algeria","18/03/2020","3.1.3_Surveillance and response measures_Detecting and isolating cases_Isolation","new"
"99","Algeria","08/07/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"100","Algeria","28/06/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","new"
"101","Algeria","17/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"102","Algeria","26/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"103","Algeria","17/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"104","Algeria","26/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"105","Algeria","24/04/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"106","Algeria","30/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"107","Algeria","27/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"108","Algeria","07/05/2020","1.4_Individual measures__Wearing a mask","new"
"109","Algeria","01/04/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"110","Algeria","18/04/2020","4.5.3_Social and physical distancing measures_Domestic travel_Restricting entry","modification/extension"
"111","Algeria","23/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"112","Algeria","23/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"113","American Samoa","27/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"114","American Samoa","18/03/2020","5.2_International travel measures__Restricting visas","new"
"115","American Samoa","18/03/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","new"
"116","American Samoa","25/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"117","Andorra","16/04/2020","1.4_Individual measures__Wearing a mask","new"
"118","Andorra","14/03/2020","5.9_International travel measures__Closing international land borders","new"
"119","Andorra","07/07/2020","5.5_International travel measures__Entry screening and isolation or quarantine","phase-out/finish"
"120","Andorra","22/04/2020","5.1_International travel measures__Providing travel advice or warning","new"
"121","Andorra","22/05/2020","5.3_International travel measures__Restricting entry","phase-out/finish"
"122","Andorra","13/05/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"123","Andorra","07/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"124","Andorra","07/07/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"125","Andorra","07/07/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","phase-out/finish"
"126","Andorra","07/07/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","phase-out/finish"
"127","Andorra","07/07/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","new"
"128","Andorra","29/04/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","new"
"129","Andorra","07/07/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","modification/extension"
"130","Andorra","02/03/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","new"
"131","Andorra","29/07/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","modification/extension"
"132","Angola","15/07/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"133","Angola","30/07/2020","5.9_International travel measures__Closing international land borders","modification/extension"
"134","Angola","04/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"135","Angola","17/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"136","Angola","27/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"137","Angola","04/06/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"138","Angola","20/02/2020","5.1_International travel measures__Providing travel advice or warning","new"
"139","Angola","28/06/2020","5.2_International travel measures__Restricting visas","modification/extension"
"140","Angola","30/06/2020","5.7_International travel measures__Suspending or restricting international flights","modification/extension"
"141","Angola","26/05/2020","8.1_Other measures__Legal and policy regulations","phase-out/finish"
"142","Angola","15/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"143","Angola","26/05/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"144","Angola","09/07/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"145","Angola","30/07/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","modification/extension"
"146","Angola","09/07/2020","4.3.2_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting private gatherings outside the home","phase-out/finish"
"147","Angola","08/06/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","phase-out/finish"
"148","Angola","09/07/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"149","Angola","30/07/2020","4.1.2_Social and physical distancing measures_School measures_Closing","modification/extension"
"150","Angola","13/05/2020","4.4.3_Social and physical distancing measures_Special populations_Protecting displaced populations","new"
"151","Angola","27/04/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","modification/extension"
"152","Angola","03/07/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","new"
"153","Angola","25/07/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","phase-out/finish"
"154","Angola","03/05/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","new"
"155","Angola","30/07/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"156","Angola","11/05/2020","3.2.2_Surveillance and response measures_Tracing and quarantining contacts_Quarantine of contacts","modification/extension"
"157","Angola","09/07/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"158","Angola","09/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"159","Angola","30/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"160","Angola","30/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"161","Angola","30/07/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","new"
"162","Angola","09/07/2020","4.3.2_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting private gatherings outside the home","modification/extension"
"163","Angola","09/07/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","modification/extension"
"164","Angola","30/07/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","modification/extension"
"165","Angola","23/06/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","modification/extension"
"166","Angola","15/05/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"167","Angola","20/04/2020","4.4.1_Social and physical distancing measures_Special populations_Shielding vulnerable groups","new"
"168","Angola","09/07/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","new"
"169","Angola","02/05/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"170","Angola","08/05/2020","1.4_Individual measures__Wearing a mask","new"
"171","Angola","26/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","phase-out/finish"
"172","Angola","08/05/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"173","Anguilla","15/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"174","Anguilla","08/04/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","modification/extension"
"175","Anguilla","17/03/2020","5.7_International travel measures__Suspending or restricting international flights","new"
"176","Anguilla","27/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"177","Anguilla","29/04/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","phase-out/finish"
"178","Anguilla","30/04/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","phase-out/finish"
"179","Anguilla","22/04/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"180","Anguilla","11/05/2020","4.1.1_Social and physical distancing measures_School measures_Adapting","phase-out/finish"
"181","Anguilla","26/03/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","new"
"182","Antigua And Barbuda","04/07/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"183","Antigua And Barbuda","12/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"184","Antigua And Barbuda","04/07/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"185","Antigua And Barbuda","01/08/2020","5.3_International travel measures__Restricting entry","phase-out/finish"
"186","Antigua And Barbuda","26/03/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","new"
"187","Antigua And Barbuda","01/06/2020","5.7_International travel measures__Suspending or restricting international flights","phase-out/finish"
"188","Antigua And Barbuda","13/05/2020","8.1_Other measures__Legal and policy regulations","modification/extension"
"189","Antigua And Barbuda","04/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"190","Antigua And Barbuda","14/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"191","Antigua And Barbuda","04/06/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"192","Antigua And Barbuda","13/05/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"193","Antigua And Barbuda","13/05/2020","4.3.2_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting private gatherings outside the home","phase-out/finish"
"194","Antigua And Barbuda","27/03/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","new"
"195","Antigua And Barbuda","02/04/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","new"
"196","Antigua And Barbuda","19/06/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"197","Antigua And Barbuda","26/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"198","Antigua And Barbuda","14/05/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"199","Antigua And Barbuda","01/07/2020","4.1.2_Social and physical distancing measures_School measures_Closing","phase-out/finish"
"200","Antigua And Barbuda","28/03/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","new"
"201","Argentina","08/07/2020","1.6_Individual measures__Physical distancing","new"
"202","Argentina","20/06/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"203","Argentina","08/07/2020","5.9_International travel measures__Closing international land borders","modification/extension"
"204","Argentina","08/07/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"205","Argentina","20/06/2020","5.3_International travel measures__Restricting entry","modification/extension"
"206","Argentina","08/07/2020","5.2_International travel measures__Restricting visas","modification/extension"
"207","Argentina","26/03/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","modification/extension"
"208","Argentina","27/06/2020","5.7_International travel measures__Suspending or restricting international flights","modification/extension"
"209","Argentina","31/03/2020","8.1_Other measures__Legal and policy regulations","modification/extension"
"210","Argentina","14/05/2020","4.5.4_Social and physical distancing measures_Domestic travel_Closing internal land borders","modification/extension"
"211","Argentina","20/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"212","Argentina","17/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"213","Argentina","20/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"214","Argentina","03/08/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"215","Argentina","27/06/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","modification/extension"
"216","Argentina","27/06/2020","4.1.2_Social and physical distancing measures_School measures_Closing","modification/extension"
"217","Argentina","11/05/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"218","Argentina","13/04/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","new"
"219","Argentina","26/05/2020","3.2.2_Surveillance and response measures_Tracing and quarantining contacts_Quarantine of contacts","new"
"220","Argentina","07/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"221","Argentina","03/08/2020","4.1.2_Social and physical distancing measures_School measures_Closing","phase-out/finish"
"222","Argentina","08/07/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"223","Argentina","01/07/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"224","Argentina","04/06/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","phase-out/finish"
"225","Argentina","27/06/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","modification/extension"
"226","Argentina","20/07/2020","3.1.3_Surveillance and response measures_Detecting and isolating cases_Isolation","phase-out/finish"
"227","Argentina","01/07/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","modification/extension"
"228","Argentina","14/04/2020","1.4_Individual measures__Wearing a mask","new"
"229","Argentina","05/05/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","new"
"230","Argentina","11/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"231","Argentina","31/03/2020","1.4_Individual measures__Wearing a mask","new"
"232","Argentina","31/03/2020","1.4_Individual measures__Wearing a mask","new"
"233","Armenia","25/05/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"234","Armenia","13/07/2020","5.9_International travel measures__Closing international land borders","modification/extension"
"235","Armenia","13/07/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"236","Armenia","25/02/2020","5.1_International travel measures__Providing travel advice or warning","new"
"237","Armenia","13/07/2020","5.3_International travel measures__Restricting entry","modification/extension"
"238","Armenia","23/03/2020","5.2_International travel measures__Restricting visas","new"
"239","Armenia","23/03/2020","5.7_International travel measures__Suspending or restricting international flights","new"
"240","Armenia","12/06/2020","8.1_Other measures__Legal and policy regulations","modification/extension"
"241","Armenia","17/06/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","phase-out/finish"
"242","Armenia","13/07/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"243","Armenia","18/05/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"244","Armenia","13/07/2020","4.1.2_Social and physical distancing measures_School measures_Closing","modification/extension"
"245","Armenia","19/04/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"246","Aruba","15/06/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"247","Aruba","01/07/2020","5.3_International travel measures__Restricting entry","phase-out/finish"
"248","Aruba","10/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"249","Aruba","30/05/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","phase-out/finish"
"250","Aruba","29/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"251","Aruba","10/06/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","phase-out/finish"
"252","Aruba","22/05/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"253","Aruba","19/03/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","new"
"254","Australia","21/07/2020","1.4_Individual measures__Wearing a mask","new"
"255","Australia","28/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"256","Australia","16/07/2020","5.3_International travel measures__Restricting entry","modification/extension"
"257","Australia","25/03/2020","5.4_International travel measures__Restricting exit","modification/extension"
"258","Australia","04/04/2020","5.2_International travel measures__Restricting visas","new"
"259","Australia","01/07/2020","5.7_International travel measures__Suspending or restricting international flights","modification/extension"
"260","Australia","02/04/2020","8.1_Other measures__Legal and policy regulations","new"
"261","Australia","03/04/2020","8.1_Other measures__Legal and policy regulations","new"
"262","Australia","04/04/2020","8.1_Other measures__Legal and policy regulations","new"
"263","Australia","04/04/2020","8.1_Other measures__Legal and policy regulations","new"
"264","Australia","04/04/2020","8.1_Other measures__Legal and policy regulations","new"
"265","Australia","04/04/2020","8.1_Other measures__Legal and policy regulations","new"
"266","Australia","04/04/2020","8.1_Other measures__Legal and policy regulations","new"
"267","Australia","07/04/2020","8.1_Other measures__Legal and policy regulations","new"
"268","Australia","08/04/2020","8.1_Other measures__Legal and policy regulations","new"
"269","Australia","24/04/2020","8.1_Other measures__Legal and policy regulations","new"
"270","Australia","30/04/2020","8.1_Other measures__Legal and policy regulations","phase-out/finish"
